day_of_week,time_sort,new_time_group,Unnamed: 0,longitude,latitude,On_the_Move,Sleep,Study,Hard_Exercise,Facebook,Kakaotalk,Instagram,Video,Not Classified,Web_surfing
0,00:00:00,12:00:00 AM,9133,9810.699301468045,2801.837657823861,5,28,12,2,0,13,1,1,12,3
0,01:00:00,01:00:00 AM,9210,9810.814643205982,2802.413366300653,19,34,9,0,0,2,1,0,8,4
0,02:00:00,02:00:00 AM,9287,9810.420766329182,2802.8045072399923,16,37,9,0,0,8,0,0,6,1
0,03:00:00,03:00:00 AM,9364,9809.875295442074,2803.032271119231,27,31,7,0,0,4,0,0,6,2
0,04:00:00,04:00:00 AM,9441,9810.101726161018,2803.0751192622824,23,33,8,0,0,4,0,0,6,3
0,05:00:00,05:00:00 AM,9518,9810.168851370183,2802.923692237379,18,34,9,0,0,9,0,0,5,2
0,06:00:00,06:00:00 AM,9595,9810.55782376949,2802.1165785192898,16,33,11,0,1,12,2,0,1,1
0,07:00:00,07:00:00 AM,9672,9810.632162931863,2801.4724248541083,20,40,5,0,0,8,0,0,2,2
0,08:00:00,08:00:00 AM,9749,9810.845343111954,2800.3256643067975,22,42,4,0,0,6,0,0,1,2
0,09:00:00,09:00:00 AM,9826,9810.8713379733,2799.71257621973,19,39,6,0,1,9,0,0,1,2
0,10:00:00,10:00:00 AM,9903,9811.12724553039,2799.5583139311043,20,38,6,0,0,10,0,0,2,1
0,11:00:00,11:00:00 AM,9825,9684.03277936379,2762.401539202606,17,31,8,0,0,14,0,0,3,3
0,12:00:00,12:00:00 PM,9745,9556.905335972777,2725.6133096957856,18,30,11,0,2,9,0,0,4,1
0,13:00:00,01:00:00 PM,9511,9302.098875735184,2652.869172738456,21,32,7,0,2,7,0,0,3,1
0,14:00:00,02:00:00 PM,8323,8283.329062765579,2361.7284411276582,17,24,6,0,0,9,1,0,3,5
0,15:00:00,03:00:00 PM,7435,7519.473680260153,2142.6629873538122,14,23,6,0,1,8,0,0,4,3
0,16:00:00,04:00:00 PM,7494,7519.457512812148,2142.5674496748243,10,19,6,0,0,12,1,0,3,8
0,17:00:00,05:00:00 PM,7392,7390.197171117458,2107.031946817275,8,13,9,0,0,6,0,0,12,10
0,18:00:00,06:00:00 PM,7450,7390.190751990597,2107.0489166328293,5,13,10,0,1,2,1,0,14,12
0,19:00:00,07:00:00 PM,7508,7390.194340065857,2107.0551317480076,0,4,11,1,2,2,1,0,19,18
0,20:00:00,08:00:00 PM,7566,7390.197768215654,2107.0534451844314,1,2,12,0,3,1,0,0,21,18
0,21:00:00,09:00:00 PM,7624,7390.200744974807,2107.050120931488,1,1,12,0,4,1,1,0,23,15
0,22:00:00,10:00:00 PM,7682,7390.198432597416,2107.0507561834243,2,7,9,2,1,4,0,0,17,16
0,23:00:00,11:00:00 PM,7740,7390.197076735126,2107.0499300673114,7,13,9,1,1,5,0,0,9,13
1,00:00:00,12:00:00 AM,6958,8915.281633511471,2545.978440495274,13,21,11,0,1,9,0,0,5,10
1,01:00:00,01:00:00 AM,7030,9170.052861964348,2618.7270127471716,28,27,3,0,1,6,0,0,6,1
1,02:00:00,02:00:00 AM,7105,9424.800830253962,2691.4596244053664,23,34,5,0,0,8,0,0,3,1
1,03:00:00,03:00:00 AM,7182,9552.194120143893,2727.800757645487,29,32,5,0,2,4,0,0,2,1
1,04:00:00,04:00:00 AM,7258,9679.606574868243,2764.1842605397933,16,33,9,0,0,12,0,0,3,3
1,05:00:00,05:00:00 AM,7339,9806.955991356033,2800.685990710647,25,31,7,0,0,11,0,0,2,1
1,06:00:00,06:00:00 AM,7416,9806.751160650314,2801.0929335781216,20,37,2,0,0,13,0,0,3,2
1,07:00:00,07:00:00 AM,7493,9806.627049046645,2801.2878322983092,19,35,5,0,0,14,0,0,3,1
1,08:00:00,08:00:00 AM,7570,9806.548413761706,2801.2020015378002,24,44,3,0,0,5,0,0,1,0
1,09:00:00,09:00:00 AM,7647,9806.48490616545,2801.098194601375,30,39,2,0,0,4,0,0,1,1
1,10:00:00,10:00:00 AM,7724,9806.494796385907,2801.138547922441,24,33,10,0,0,7,0,0,2,1
1,11:00:00,11:00:00 AM,7801,9806.521505318258,2801.136138101174,32,25,8,0,2,8,0,0,2,0
1,12:00:00,12:00:00 PM,7878,9806.490129752905,2801.1579850888124,25,30,3,0,0,13,0,0,4,2
1,13:00:00,01:00:00 PM,7955,9806.417683576696,2801.176123782751,34,26,5,0,1,6,0,0,3,2
1,14:00:00,02:00:00 PM,5731,7896.015135599687,2255.675282641894,20,18,5,1,0,11,0,0,3,4
1,15:00:00,03:00:00 PM,5158,7386.552654559317,2110.2026378323503,14,20,4,1,1,10,0,1,4,3
1,16:00:00,04:00:00 PM,5056,7259.21719392663,2073.8565266214564,18,17,2,1,1,9,1,0,3,5
1,17:00:00,05:00:00 PM,5113,7259.202239843473,2073.863797851097,9,12,7,1,0,9,0,0,13,6
1,18:00:00,06:00:00 PM,5170,7259.204161005577,2073.872921934589,6,6,8,2,1,6,0,0,19,9
1,19:00:00,07:00:00 PM,5227,7259.214022502318,2073.8694078173776,5,2,9,2,1,1,0,0,24,13
1,20:00:00,08:00:00 PM,5284,7259.224840300248,2073.871176969826,2,3,12,0,1,4,0,0,25,10
1,21:00:00,09:00:00 PM,5341,7259.22850853484,2073.871196476439,1,3,11,1,2,1,0,1,28,9
1,22:00:00,10:00:00 PM,5232,7131.8880000079025,2037.5146567433183,1,5,11,2,2,4,1,0,21,9
1,23:00:00,11:00:00 PM,5288,7131.883397764287,2037.5107911024027,6,12,9,1,2,12,0,0,7,7
2,00:00:00,12:00:00 AM,4168,8915.349394547147,2546.019643748854,12,26,8,1,0,14,0,1,2,6
2,01:00:00,01:00:00 AM,4239,9170.133762304873,2618.7104201593033,25,34,3,0,0,6,0,0,2,2
2,02:00:00,02:00:00 AM,4317,9552.154923506885,2727.8113888966727,22,38,4,0,0,8,0,0,1,2
2,03:00:00,03:00:00 AM,4392,9552.153264995472,2727.8283280600185,27,31,6,0,0,7,1,0,0,3
2,04:00:00,04:00:00 AM,4467,9552.169431693732,2727.8387253437895,19,37,7,0,1,10,0,0,1,0
2,05:00:00,05:00:00 AM,4542,9552.114912045337,2727.867465300823,29,36,5,0,0,4,0,0,1,0
2,06:00:00,06:00:00 AM,4617,9552.113651698932,2727.812941249888,20,33,6,0,0,12,0,0,1,3
2,07:00:00,07:00:00 AM,4730,9806.783723177628,2800.516761029311,20,33,4,0,0,16,0,0,4,0
2,08:00:00,08:00:00 AM,4807,9806.790660265366,2800.4950232460346,23,38,2,0,0,9,0,0,3,2
2,09:00:00,09:00:00 AM,4884,9806.824824316885,2800.442672390578,26,34,5,0,0,10,0,0,1,1
2,10:00:00,10:00:00 AM,4961,9806.831073826186,2800.4620409539075,26,36,7,0,2,4,0,0,2,0
2,11:00:00,11:00:00 AM,5038,9806.868397329867,2800.4959288708283,25,30,7,0,0,11,0,0,0,4
2,12:00:00,12:00:00 PM,5115,9806.808089806433,2800.507277570633,19,35,4,1,1,10,1,0,3,3
2,13:00:00,01:00:00 PM,5192,9806.712661099345,2800.4708371348615,22,29,3,3,0,11,1,0,5,3
2,14:00:00,02:00:00 PM,5269,9806.695135230282,2800.467375726096,25,26,4,1,1,11,0,0,4,5
2,15:00:00,03:00:00 PM,5187,9679.332035807896,2764.100640834698,26,20,4,1,1,10,0,1,4,9
2,16:00:00,04:00:00 PM,5263,9679.325075517669,2764.1228531155334,20,24,4,2,1,13,1,1,5,5
2,17:00:00,05:00:00 PM,5339,9679.314738979452,2764.141333698912,13,13,5,2,2,12,0,0,16,13
2,18:00:00,06:00:00 PM,5415,9679.297287324542,2764.163670865319,12,9,9,1,1,7,0,0,21,16
2,19:00:00,07:00:00 PM,5491,9679.306557484364,2764.176846210519,5,8,9,0,2,6,0,0,26,20
2,20:00:00,08:00:00 PM,5567,9679.310016270938,2764.1790084638124,2,6,8,1,4,4,0,0,30,21
2,21:00:00,09:00:00 PM,5479,9551.95236938131,2727.8176647959153,2,1,9,1,5,6,0,1,30,20
2,22:00:00,10:00:00 PM,5554,9551.958014810849,2727.819892161716,6,8,11,1,1,5,1,0,22,20
2,23:00:00,11:00:00 PM,5462,9424.637196371112,2691.4557148940426,11,13,9,0,3,14,1,0,11,12
